province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-24 00:00:00+07:00,51.46,79.0,83.58,5,38.5,88.27,1011.34,26.68,29.0,23.79,210.69,15.42
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-25 00:00:00+07:00,39.5,89.0,37.25,5,53.7,85.08,1011.11,27.51,30.26,25.19,251.52,10.14
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-26 00:00:00+07:00,39.75,67.88,25.63,5,40.8,82.87,1010.94,27.61,31.21,24.99,247.52,11.24
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-27 00:00:00+07:00,18.88,78.13,21.0,3,1.2,79.42,1010.79,28.8,33.71,26.2,270.03,7.53
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-28 00:00:00+07:00,44.63,76.5,71.13,4,16.3,78.77,1010.24,27.84,30.7,25.96,221.05,13.01
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-29 00:00:00+07:00,67.38,75.63,71.5,5,35.1,83.33,1009.2,27.58,29.8,26.58,249.83,11.3
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-30 00:00:00+07:00,71.13,84.5,58.5,5,36.1,85.13,1008.15,27.77,32.4,25.44,244.03,12.37
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-24 00:00:00+07:00,27.46,65.46,16.17,3,0.2,80.89,1010.22,27.92,32.24,25.34,259.63,13.18
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-25 00:00:00+07:00,31.88,75.25,38.25,5,14.5,79.56,1009.65,27.5,31.74,25.12,268.12,11.19
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-26 00:00:00+07:00,28.0,84.75,52.25,4,7.3,78.39,1009.73,27.41,31.4,24.86,266.87,12.57
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-27 00:00:00+07:00,60.75,77.25,32.88,5,6.3,79.95,1009.68,27.42,32.64,24.88,255.33,10.7
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-28 00:00:00+07:00,50.13,84.63,60.0,4,17.0,76.51,1009.27,27.89,32.12,25.85,250.96,10.9
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-29 00:00:00+07:00,72.25,77.13,67.5,3,1.8,79.02,1007.78,27.41,30.41,24.51,268.92,11.5
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-30 00:00:00+07:00,74.38,74.75,48.5,4,6.3,82.18,1006.95,27.34,30.42,25.32,266.25,11.4
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-24 00:00:00+07:00,51.75,83.08,72.5,4,15.7,92.21,1011.44,25.94,28.56,24.24,263.3,13.74
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-25 00:00:00+07:00,68.88,79.88,61.5,5,30.6,91.99,1011.11,26.34,29.47,24.36,264.52,9.0
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-26 00:00:00+07:00,70.0,83.13,55.75,5,60.4,90.63,1011.09,26.67,28.8,24.89,261.85,8.22
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-27 00:00:00+07:00,29.88,83.25,19.38,4,6.3,81.11,1010.8,27.88,31.51,25.04,265.15,9.11
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-28 00:00:00+07:00,49.63,86.5,67.38,5,37.6,87.49,1010.33,26.69,29.92,24.42,233.76,7.4
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-29 00:00:00+07:00,68.88,72.38,62.5,5,26.0,83.46,1009.14,26.08,30.08,24.22,279.17,13.52
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-30 00:00:00+07:00,64.25,69.75,54.88,5,20.7,86.63,1008.38,26.61,31.42,24.84,305.98,10.01
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-24 00:00:00+07:00,21.67,36.96,54.46,1,1.9,74.69,1010.52,27.99,32.25,25.96,268.51,15.65
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-25 00:00:00+07:00,31.5,26.88,23.88,1,6.2,75.12,1010.16,27.94,31.72,25.08,267.97,10.73
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-26 00:00:00+07:00,17.25,27.63,49.75,1,5.0,65.09,1009.92,29.5,35.61,26.36,255.48,12.95
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-27 00:00:00+07:00,10.13,18.25,49.25,1,11.5,71.13,1009.86,28.99,34.28,26.88,265.74,14.41
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-08-28 00:00:00+07:00,41.25,35.75,78.88,5,6.2,74.63,1009.48,27.79,30.01,26.45,260.47,14.25
