province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-03 00:00:00+07:00,31.25,86.17,46.46,4,3.7,80.22,1011.46,28.13,35.99,24.46,265.8,7.68
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-04 00:00:00+07:00,7.79,77.21,23.67,4,0.5,78.59,1011.67,28.14,32.01,24.95,267.91,9.29
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-05 00:00:00+07:00,14.25,86.63,14.38,4,1.4,84.82,1012.21,26.97,29.65,24.57,284.17,4.82
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-06 00:00:00+07:00,10.63,85.38,2.63,4,0.2,81.09,1012.61,27.64,31.74,24.02,304.09,8.32
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-07 00:00:00+07:00,17.75,79.75,34.5,5,1.7,80.65,1012.07,27.74,31.81,25.01,295.32,10.52
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-08 00:00:00+07:00,37.25,91.5,73.13,5,51.3,92.27,1011.32,26.07,29.62,23.92,281.71,13.77
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-09 00:00:00+07:00,62.25,94.25,72.0,5,34.3,88.86,1010.27,27.19,31.54,25.56,257.64,8.92
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-03 00:00:00+07:00,12.46,81.21,20.75,4,0.4,81.8,1010.7,27.37,31.54,24.2,276.61,10.26
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-04 00:00:00+07:00,3.42,72.25,14.79,4,0.2,80.58,1010.86,27.51,31.34,25.07,275.14,11.62
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-05 00:00:00+07:00,17.75,65.38,4.38,3,2.7,76.84,1011.27,27.78,31.96,24.63,264.94,7.12
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-06 00:00:00+07:00,9.38,77.5,32.63,4,2.4,84.66,1011.69,27.1,30.94,24.93,279.47,12.51
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-07 00:00:00+07:00,14.38,77.75,56.0,3,0.8,82.65,1011.22,27.16,30.3,25.15,280.23,12.77
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-08 00:00:00+07:00,25.5,83.5,66.5,4,8.4,77.61,1010.03,27.56,31.37,24.55,279.32,12.76
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-09 00:00:00+07:00,33.25,81.38,67.38,3,34.1,84.23,1009.18,27.01,30.26,25.2,322.4,13.58
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-03 00:00:00+07:00,37.71,79.79,54.54,4,0.9,83.04,1011.53,27.48,33.92,24.3,224.75,10.67
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-04 00:00:00+07:00,23.58,77.0,22.13,4,1.1,82.6,1011.71,27.77,31.97,24.25,267.24,10.21
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-05 00:00:00+07:00,42.5,64.13,12.63,4,3.4,84.11,1012.28,27.17,30.8,23.99,259.13,6.49
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-06 00:00:00+07:00,23.88,64.25,0.25,4,1.4,84.79,1012.56,26.96,31.2,23.97,262.9,6.95
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-07 00:00:00+07:00,6.88,86.13,28.25,4,1.3,86.38,1012.04,26.91,32.58,23.67,305.05,7.1
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-08 00:00:00+07:00,53.13,80.75,86.13,5,37.1,90.13,1011.17,25.82,28.79,23.21,260.83,5.33
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-09 00:00:00+07:00,73.88,88.38,72.25,5,34.5,89.94,1010.51,26.45,33.06,23.24,244.8,8.66
