province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-18 00:00:00+07:00,52.92,73.38,23.0,3,0.1,82.43,1011.8,27.81,31.5,23.93,274.86,7.09
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-19 00:00:00+07:00,18.04,73.75,8.04,4,0.3,76.71,1011.15,27.95,30.96,25.31,273.72,9.46
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-20 00:00:00+07:00,22.63,73.88,20.5,4,3.4,75.11,1011.16,28.58,32.0,25.56,260.73,9.08
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-21 00:00:00+07:00,45.38,77.5,7.13,4,2.9,82.68,1011.33,27.83,31.35,23.04,234.95,7.51
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-22 00:00:00+07:00,39.88,85.75,5.0,3,1.2,85.99,1011.86,27.49,30.06,25.56,210.24,7.12
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-23 00:00:00+07:00,44.38,91.0,17.63,4,11.2,86.08,1011.23,27.54,30.68,24.58,233.76,5.29
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-08-24 00:00:00+07:00,55.13,83.38,52.5,5,25.4,89.67,1011.02,26.68,29.47,24.63,239.62,6.37
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-18 00:00:00+07:00,73.54,56.96,51.13,4,1.9,79.61,1010.97,27.51,33.03,23.3,289.47,10.98
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-19 00:00:00+07:00,50.21,54.17,3.79,3,0.5,74.65,1009.95,27.5,31.25,24.91,251.14,11.37
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-20 00:00:00+07:00,65.88,81.0,70.25,5,25.3,85.83,1009.88,26.95,31.58,24.5,270.67,11.31
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-21 00:00:00+07:00,67.25,71.75,47.88,5,11.2,84.05,1010.5,27.04,30.75,23.75,265.7,12.08
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-22 00:00:00+07:00,62.88,73.88,28.88,3,0.5,78.14,1010.79,28.23,33.05,24.92,250.47,9.5
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-23 00:00:00+07:00,44.63,72.88,8.63,4,2.3,77.2,1010.2,28.27,31.58,25.77,271.33,8.97
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-08-24 00:00:00+07:00,38.88,66.63,16.5,3,5.2,82.02,1010.22,27.67,31.35,24.81,270.94,10.08
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-18 00:00:00+07:00,39.54,79.08,5.63,4,0.0,80.7,1011.86,27.13,31.62,23.54,245.11,7.87
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-19 00:00:00+07:00,14.0,86.67,2.88,4,0.5,81.92,1011.16,27.61,31.05,24.6,270.58,9.3
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-20 00:00:00+07:00,18.25,84.25,2.5,4,1.3,83.13,1011.22,27.18,30.87,23.14,251.9,9.48
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-21 00:00:00+07:00,41.5,68.88,4.63,2,16.3,83.92,1011.46,26.5,30.0,23.12,222.54,6.96
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-08-22 00:00:00+07:00,38.38,56.63,9.25,3,0.3,85.18,1011.9,26.68,30.63,23.35,263.49,6.91
