province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-05 00:00:00+07:00,40.75,83.88,35.63,4,3.2,87.35,1011.56,27.04,30.69,23.74,265.02,6.99
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-06 00:00:00+07:00,36.25,93.13,25.38,4,19.4,86.45,1011.72,26.26,28.56,23.23,321.06,10.85
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-07 00:00:00+07:00,9.0,78.38,13.75,4,5.0,84.53,1011.1,26.81,30.24,23.4,266.23,9.17
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-01 00:00:00+07:00,29.75,10.5,9.96,1,0.0,58.37,1011.01,30.72,34.23,28.48,278.17,10.46
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-02 00:00:00+07:00,23.5,45.88,65.25,2,17.7,76.24,1011.38,27.83,31.39,25.65,273.58,17.24
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-03 00:00:00+07:00,27.88,24.0,48.5,1,14.2,68.87,1010.36,28.59,31.9,26.31,278.92,11.95
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-04 00:00:00+07:00,38.38,17.0,56.5,1,1.2,73.95,1010.45,28.46,31.91,25.13,281.44,9.63
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-05 00:00:00+07:00,19.88,37.5,39.75,1,3.1,71.46,1010.66,28.9,32.59,26.87,275.68,9.67
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-06 00:00:00+07:00,21.5,56.25,56.13,2,0.9,74.87,1010.87,28.09,31.15,26.17,246.12,17.18
นครศรีธรรมราช,province,นครศรีธรรมราช,S,80,8.419865,99.962821,2026-09-07 00:00:00+07:00,12.88,31.75,30.63,2,0.2,70.1,1010.42,28.49,32.78,25.77,270.56,9.58
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-01 00:00:00+07:00,49.04,49.13,24.0,3,1.3,81.59,1011.75,27.32,31.24,24.5,37.27,6.66
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-02 00:00:00+07:00,39.0,64.88,25.25,3,11.6,86.19,1011.7,26.72,31.22,23.59,315.08,10.22
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-03 00:00:00+07:00,44.63,58.75,59.25,2,7.4,77.15,1011.0,27.81,34.33,23.89,238.87,14.26
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-04 00:00:00+07:00,58.63,61.5,64.0,2,16.6,82.67,1011.09,27.24,34.57,24.08,0.07,4.0
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-05 00:00:00+07:00,56.88,67.38,58.38,2,4.3,84.88,1011.47,27.06,32.7,24.0,349.19,5.58
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-06 00:00:00+07:00,43.38,62.38,38.63,5,12.1,83.19,1011.34,26.8,30.89,23.01,47.15,5.11
นราธิวาส,province,นราธิวาส,S,96,6.428561,101.822871,2026-09-07 00:00:00+07:00,34.5,57.88,35.88,2,12.2,84.04,1010.8,27.23,32.79,24.07,301.41,10.07
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-01 00:00:00+07:00,35.13,51.63,14.38,3,0.0,81.4,1011.61,28.12,30.95,25.08,150.26,8.56
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-02 00:00:00+07:00,31.0,35.63,37.88,1,0.3,86.78,1011.73,27.41,29.68,25.61,269.79,9.34
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-03 00:00:00+07:00,45.63,53.13,61.5,4,0.6,81.32,1011.1,27.82,30.15,26.08,308.46,9.39
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-04 00:00:00+07:00,43.38,39.38,54.5,1,0.1,87.38,1010.99,27.58,29.72,25.8,235.62,6.66
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-05 00:00:00+07:00,47.13,57.38,37.63,2,3.2,84.87,1011.35,27.75,29.64,26.27,213.89,6.04
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-06 00:00:00+07:00,27.75,63.63,21.88,4,0.0,86.86,1011.39,27.7,30.25,26.13,332.64,9.96
ปัตตานี,province,ปัตตานี,S,94,6.86866,101.249235,2026-09-07 00:00:00+07:00,13.5,51.0,22.0,2,1.0,84.75,1010.74,27.73,29.54,26.19,236.82,6.18
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-01 00:00:00+07:00,35.25,67.42,8.67,3,0.3,82.67,1012.04,27.98,31.51,25.47,257.32,8.6
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-02 00:00:00+07:00,32.75,84.0,54.38,5,22.4,81.79,1011.94,26.77,31.48,23.43,279.74,6.86
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-03 00:00:00+07:00,34.0,78.25,47.13,3,42.0,84.23,1011.41,26.76,30.36,24.47,279.45,7.18
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-04 00:00:00+07:00,26.75,74.25,28.88,4,0.6,81.88,1011.48,26.89,29.57,24.95,255.27,9.13
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-05 00:00:00+07:00,12.88,82.5,40.0,5,8.0,86.49,1011.63,26.64,28.96,25.37,292.65,9.03
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-06 00:00:00+07:00,17.0,84.5,17.0,4,2.8,81.97,1011.79,27.15,31.06,24.07,280.24,7.54
พังงา,province,พังงา,S,82,8.442509,98.519465,2026-09-07 00:00:00+07:00,10.63,87.0,20.75,4,2.7,82.58,1011.31,27.26,30.18,24.82,276.74,8.42
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-01 00:00:00+07:00,18.71,29.63,11.67,1,0.0,72.14,1011.52,29.27,34.84,25.13,271.44,10.44
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-02 00:00:00+07:00,25.0,66.88,41.0,3,42.2,84.54,1011.65,26.95,33.69,23.87,261.71,5.29
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-03 00:00:00+07:00,50.63,61.63,63.38,5,9.9,83.12,1011.17,26.9,31.97,24.27,267.11,9.23
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-04 00:00:00+07:00,40.13,54.5,56.63,3,9.1,82.23,1010.93,27.58,32.49,23.98,258.65,8.76
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-05 00:00:00+07:00,46.5,56.25,20.63,2,0.2,80.17,1011.19,27.59,31.57,23.97,273.91,12.26
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-06 00:00:00+07:00,33.63,46.13,22.75,2,21.1,82.48,1011.36,27.65,33.11,24.26,287.85,6.96
พัทลุง,province,พัทลุง,S,93,7.619135,100.072981,2026-09-07 00:00:00+07:00,20.75,53.25,4.38,3,15.9,83.58,1010.76,27.27,33.62,23.93,293.6,6.8
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-01 00:00:00+07:00,32.83,80.38,9.29,4,0.1,72.52,1012.09,29.23,31.36,27.71,272.17,7.71
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-02 00:00:00+07:00,32.25,79.63,53.38,5,8.4,79.41,1011.95,28.53,32.3,26.49,301.64,8.43
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-03 00:00:00+07:00,30.25,79.13,58.38,5,3.6,80.44,1011.42,28.06,29.92,26.71,240.31,12.21
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-04 00:00:00+07:00,35.63,81.0,37.88,3,0.8,76.21,1011.46,28.69,30.3,27.43,268.59,7.6
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-05 00:00:00+07:00,26.5,70.63,20.88,4,2.2,77.04,1011.61,28.59,30.42,27.2,292.64,6.36
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-06 00:00:00+07:00,10.63,87.0,23.0,4,9.5,77.13,1011.85,28.29,29.35,27.01,257.88,6.99
ภูเก็ต,province,ภูเก็ต,S,83,7.889262,98.385376,2026-09-07 00:00:00+07:00,6.25,83.0,0.0,4,1.3,75.99,1011.35,28.79,31.34,27.27,290.37,8.05
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-01 00:00:00+07:00,48.08,65.0,17.0,3,7.5,82.42,1011.78,27.88,35.72,24.25,330.02,7.65
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-02 00:00:00+07:00,41.25,68.5,46.5,4,22.0,80.34,1011.81,27.0,33.36,24.06,263.61,7.12
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-03 00:00:00+07:00,51.63,43.75,53.75,2,0.0,77.74,1011.23,27.45,32.61,24.22,246.22,9.93
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-04 00:00:00+07:00,53.88,53.88,54.5,4,6.8,81.94,1011.09,27.16,32.31,23.86,284.28,6.53
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-05 00:00:00+07:00,51.0,66.0,59.13,5,27.5,81.78,1011.44,27.69,34.67,24.09,225.66,4.15
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-06 00:00:00+07:00,39.0,46.38,24.25,2,0.0,75.16,1011.41,28.54,34.85,24.03,251.66,7.74
ยะลา,province,ยะลา,S,95,6.541759,101.281588,2026-09-07 00:00:00+07:00,31.5,33.38,43.13,1,10.4,79.22,1010.9,27.71,33.28,24.4,336.79,5.21
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-01 00:00:00+07:00,42.17,87.58,14.46,4,0.7,87.67,1012.12,27.38,29.52,25.6,245.37,7.48
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-02 00:00:00+07:00,15.25,99.25,34.13,5,5.4,89.49,1011.82,27.07,29.11,25.48,249.92,7.93
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-03 00:00:00+07:00,4.5,94.63,47.5,5,22.5,88.25,1011.17,26.6,29.01,25.47,274.49,13.65
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-04 00:00:00+07:00,38.38,76.5,44.5,5,34.9,89.12,1011.33,26.93,28.65,26.18,267.01,6.53
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-05 00:00:00+07:00,39.0,97.38,59.5,5,57.7,88.74,1011.54,26.56,28.28,25.58,262.8,10.17
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-06 00:00:00+07:00,20.38,88.0,68.63,5,20.0,91.05,1011.69,26.06,27.29,24.43,293.11,9.66
ระนอง,province,ระนอง,S,85,9.967139,98.633426,2026-09-07 00:00:00+07:00,0.0,97.63,35.0,4,36.3,88.4,1011.2,26.76,28.84,25.64,306.6,7.9
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-01 00:00:00+07:00,26.63,36.42,12.92,1,3.0,75.5,1011.46,29.68,33.62,27.37,260.05,13.07
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-02 00:00:00+07:00,28.25,52.63,50.88,2,8.9,83.42,1011.77,28.22,29.62,27.78,307.93,11.36
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-03 00:00:00+07:00,48.63,43.63,73.25,1,0.5,78.95,1011.15,28.65,31.13,27.01,268.03,10.77
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-04 00:00:00+07:00,43.25,67.38,55.5,3,1.6,81.8,1011.03,28.33,30.09,27.21,252.96,13.19
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-05 00:00:00+07:00,46.13,57.5,27.0,3,14.6,79.03,1011.23,29.2,31.77,26.92,314.85,9.59
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-06 00:00:00+07:00,35.75,59.38,25.38,3,18.3,80.89,1011.34,29.11,31.53,27.14,275.83,9.9
สงขลา,province,สงขลา,S,90,7.207486,100.596251,2026-09-07 00:00:00+07:00,14.25,72.88,33.38,3,5.5,82.6,1010.87,28.74,31.04,27.17,284.92,10.85
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-01 00:00:00+07:00,21.79,50.42,5.0,3,0.0,83.76,1011.9,27.66,31.58,24.22,275.31,8.51
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-02 00:00:00+07:00,38.75,84.63,45.5,4,16.5,91.24,1011.97,26.46,29.09,24.76,314.76,9.66
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-03 00:00:00+07:00,59.0,86.5,66.0,5,28.7,90.31,1011.69,26.26,29.86,23.89,303.79,5.4
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-04 00:00:00+07:00,69.88,80.88,50.25,5,24.7,89.32,1011.49,27.0,29.58,24.92,290.91,8.19
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-05 00:00:00+07:00,60.0,72.13,54.13,4,9.5,87.49,1011.87,26.55,29.6,23.79,272.46,8.12
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-06 00:00:00+07:00,56.38,84.5,36.5,5,4.4,85.27,1011.91,27.06,30.25,24.59,289.86,5.85
สตูล,province,สตูล,S,91,6.62339,100.066649,2026-09-07 00:00:00+07:00,19.0,71.63,42.75,4,3.8,85.19,1011.16,26.81,29.62,24.4,287.45,6.51
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-01 00:00:00+07:00,34.0,60.92,9.17,4,0.1,70.84,1011.58,28.94,34.8,24.77,249.21,12.53
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-02 00:00:00+07:00,21.5,71.38,37.88,3,3.7,78.12,1011.57,27.26,33.7,23.88,258.35,9.19
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-03 00:00:00+07:00,30.5,70.5,45.38,3,23.3,81.42,1010.91,26.41,31.13,24.1,193.3,6.19
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-04 00:00:00+07:00,39.25,64.38,44.88,4,1.1,83.44,1011.02,26.93,30.3,24.0,267.4,14.68
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-05 00:00:00+07:00,31.5,75.63,45.63,4,9.5,80.8,1011.24,27.23,35.08,24.21,314.63,8.63
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-06 00:00:00+07:00,27.13,77.38,47.38,4,11.1,84.71,1011.38,26.7,32.14,24.06,182.66,7.15
สุราษฎร์ธานี,province,สุราษฎร์ธานี,S,84,9.136008,99.320337,2026-09-07 00:00:00+07:00,2.63,61.0,32.88,3,0.9,80.89,1010.88,26.81,33.47,23.91,314.39,15.28
