province,area_type,name,region,geocode,latitude,longitude,forecast_time,cloud_high,cloud_low,cloud_medium,condition,rain,relative_humidity,sea_level_pressure,temperature,temperature_max,temperature_min,wind_direction,wind_speed
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-01 00:00:00+07:00,28.75,74.63,8.25,3,0.3,77.3,1011.98,28.29,31.89,24.85,277.54,7.65
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-02 00:00:00+07:00,29.38,90.13,54.5,4,12.2,84.16,1011.87,26.88,32.23,24.11,293.52,9.17
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-03 00:00:00+07:00,44.75,76.38,56.25,5,25.5,88.76,1011.29,26.7,30.46,25.24,309.91,6.3
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-04 00:00:00+07:00,34.0,77.75,39.0,3,1.7,83.29,1011.31,27.65,30.87,25.3,276.8,8.43
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-05 00:00:00+07:00,24.38,96.13,9.13,4,4.0,85.61,1011.37,27.38,31.0,24.76,229.44,7.3
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-06 00:00:00+07:00,25.75,86.75,31.38,5,37.7,87.07,1011.61,26.81,29.9,23.82,244.13,8.22
กระบี่,province,กระบี่,S,81,8.062061,98.918394,2026-09-07 00:00:00+07:00,6.5,78.75,7.25,4,0.2,84.53,1011.13,26.87,30.02,23.9,263.74,9.25
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-01 00:00:00+07:00,37.54,63.25,8.58,4,0.0,80.72,1011.36,27.73,32.5,24.71,273.59,10.02
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-02 00:00:00+07:00,8.5,72.13,8.88,4,0.3,79.48,1011.01,27.21,31.6,24.66,272.84,10.43
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-03 00:00:00+07:00,12.88,63.13,26.63,3,2.9,71.88,1010.26,29.05,33.5,25.71,278.78,7.1
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-04 00:00:00+07:00,8.25,89.75,42.88,4,0.7,79.37,1010.61,27.44,36.24,24.15,273.44,10.06
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-05 00:00:00+07:00,10.5,82.25,57.13,4,0.9,79.39,1010.74,28.4,35.09,24.41,271.22,8.88
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-06 00:00:00+07:00,0.75,84.75,58.13,3,2.4,85.07,1010.91,26.8,31.7,24.03,263.87,10.64
ชุมพร,province,ชุมพร,S,86,10.492748,99.179113,2026-09-07 00:00:00+07:00,0.0,60.88,51.88,3,0.1,81.87,1010.43,27.14,30.54,24.13,301.29,8.12
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-01 00:00:00+07:00,22.54,57.25,1.42,3,0.0,81.49,1012.02,27.79,32.19,23.36,254.28,8.1
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-02 00:00:00+07:00,33.63,70.75,43.88,4,4.1,88.03,1011.8,26.1,30.98,24.12,235.97,8.53
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-03 00:00:00+07:00,48.13,87.38,65.25,5,21.1,91.65,1011.51,26.06,29.3,23.69,264.77,6.64
ตรัง,province,ตรัง,S,92,7.557969,99.609802,2026-09-04 00:00:00+07:00,37.38,96.25,47.38,4,1.7,86.66,1011.28,27.07,30.84,23.58,241.41,9.02
